cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
31,espera_basculamento,2025-12-13T06:05:56-03:00,2025-12-13T06:06:39-03:00,44,-11.692897,-47.165532,"-11.693,-47.166",1
31,basculamento,2025-12-13T06:06:47-03:00,2025-12-13T06:06:59-03:00,13,-11.692951,-47.165591,"-11.693,-47.166",1
32,carregamento,2025-12-13T06:12:09-03:00,2025-12-13T06:14:29-03:00,141,-11.698856,-47.157199,"-11.699,-47.157",1
32,basculamento,2025-12-13T06:24:33-03:00,2025-12-13T06:25:08-03:00,36,-11.694402,-47.165185,"-11.694,-47.165",1
32,basculamento,2025-12-13T06:25:21-03:00,2025-12-13T06:25:33-03:00,13,-11.694305,-47.165188,"-11.694,-47.165",1
33,espera_carregamento,2025-12-13T06:31:24-03:00,2025-12-13T06:31:41-03:00,18,-11.699004,-47.157209,"-11.699,-47.157",1
33,carregamento,2025-12-13T06:31:57-03:00,2025-12-13T06:35:57-03:00,241,-11.698893,-47.157225,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T06:46:14-03:00,2025-12-13T06:46:50-03:00,37,-11.694379,-47.165227,"-11.694,-47.165",1
,espera_basculamento,2025-12-13T06:47:06-03:00,2025-12-13T06:54:13-03:00,428,-11.694282,-47.165247,"-11.694,-47.165",1
,carregamento,2025-12-13T07:24:55-03:00,2025-12-13T07:27:06-03:00,132,-11.698886,-47.157097,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T07:38:01-03:00,2025-12-13T07:38:36-03:00,36,-11.692766,-47.164758,"-11.693,-47.165",1
,carregamento,2025-12-13T07:45:11-03:00,2025-12-13T07:48:41-03:00,211,-11.698858,-47.157194,"-11.699,-47.157",0
,espera_basculamento,2025-12-13T07:59:15-03:00,2025-12-13T07:59:49-03:00,35,-11.692845,-47.164776,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T08:00:06-03:00,2025-12-13T08:00:37-03:00,32,-11.692918,-47.164807,"-11.693,-47.165",1
,espera_carregamento,2025-12-13T08:06:29-03:00,2025-12-13T08:07:04-03:00,36,-11.699291,-47.157272,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T08:08:30-03:00,2025-12-13T08:24:35-03:00,966,-11.699157,-47.157217,"-11.699,-47.157",1
34,carregamento,2025-12-13T08:24:50-03:00,2025-12-13T08:27:28-03:00,159,-11.698923,-47.157099,"-11.699,-47.157",1
34,basculamento,2025-12-13T08:38:54-03:00,2025-12-13T08:39:46-03:00,53,-11.693458,-47.164057,"-11.693,-47.164",1
,espera_carregamento,2025-12-13T08:46:48-03:00,2025-12-13T08:49:28-03:00,161,-11.698960,-47.157143,"-11.699,-47.157",1
,espera_carregamento,2025-12-13T08:49:41-03:00,2025-12-13T08:53:29-03:00,229,-11.698891,-47.157092,"-11.699,-47.157",1
34,basculamento,2025-12-13T09:03:31-03:00,2025-12-13T09:03:40-03:00,10,-11.694185,-47.165036,"-11.694,-47.165",1
34,basculamento,2025-12-13T09:03:50-03:00,2025-12-13T09:04:55-03:00,66,-11.694246,-47.164952,"-11.694,-47.165",1
34,espera_basculamento,2025-12-13T09:05:19-03:00,2025-12-13T09:09:20-03:00,242,-11.694224,-47.165052,"-11.694,-47.165",1
,espera_carregamento,2025-12-13T09:44:18-03:00,2025-12-13T09:44:32-03:00,16,-11.698400,-47.155378,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:44:42-03:00,2025-12-13T09:45:08-03:00,28,-11.698400,-47.155379,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:45:18-03:00,2025-12-13T09:45:33-03:00,17,-11.698401,-47.155379,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:45:36-03:00,2025-12-13T09:46:03-03:00,29,-11.698401,-47.155379,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:46:41-03:00,2025-12-13T09:47:04-03:00,25,-11.698401,-47.155378,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:47:14-03:00,2025-12-13T09:47:46-03:00,34,-11.698401,-47.155378,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:48:03-03:00,2025-12-13T09:48:53-03:00,52,-11.698401,-47.155378,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:50:59-03:00,2025-12-13T09:51:32-03:00,34,-11.698188,-47.155008,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:52:23-03:00,2025-12-13T09:53:01-03:00,39,-11.698832,-47.155275,"-11.699,-47.155",1
,espera_basculamento,2025-12-13T10:11:58-03:00,2025-12-13T10:13:16-03:00,79,-11.694012,-47.164166,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T10:13:19-03:00,2025-12-13T10:13:35-03:00,17,-11.693997,-47.164171,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T10:13:39-03:00,2025-12-13T10:15:28-03:00,110,-11.694007,-47.164190,"-11.694,-47.164",1
